time	sig 0	sig 1
(sec)	(mV)	(mV)
  0.000	 -0.165	 -0.325
  0.008	 -0.155	 -0.325
  0.016	 -0.195	 -0.305
  0.023	 -0.205	 -0.305
  0.031	 -0.185	 -0.295
  0.039	 -0.155	 -0.265
  0.047	 -0.135	 -0.235
  0.055	 -0.095	 -0.185
  0.062	 -0.075	 -0.135
  0.070	 -0.065	 -0.095
  0.078	 -0.065	 -0.055
  0.086	 -0.125	 -0.015
  0.094	 -0.125	  0.005
  0.102	 -0.125	 -0.045
  0.109	 -0.115	 -0.015
  0.117	 -0.125	 -0.005
  0.125	 -0.165	 -0.015
  0.133	 -0.115	 -0.025
  0.141	 -0.145	 -0.025
  0.148	 -0.115	 -0.025
  0.156	 -0.135	 -0.015
  0.164	 -0.135	  0.005
  0.172	 -0.125	 -0.035
  0.180	 -0.175	 -0.025
  0.188	 -0.145	 -0.025
  0.195	 -0.125	 -0.025
  0.203	 -0.145	 -0.025
  0.211	 -0.145	 -0.005
  0.219	 -0.135	 -0.035
  0.227	 -0.165	 -0.045
  0.234	 -0.155	 -0.025
  0.242	 -0.095	 -0.005
  0.250	 -0.105	  0.015
  0.258	 -0.075	  0.035
  0.266	 -0.085	  0.055
  0.273	  0.025	  0.005
  0.281	  0.025	 -0.055
  0.289	 -0.025	 -0.065
  0.297	 -0.085	 -0.065
  0.305	 -0.115	 -0.055
  0.312	 -0.145	 -0.025
  0.320	 -0.125	 -0.005
  0.328	 -0.155	 -0.045
  0.336	 -0.205	 -0.065
  0.344	 -0.215	 -0.065
  0.352	 -0.215	 -0.055
  0.359	 -0.165	 -0.055
  0.367	 -0.165	 -0.055
  0.375	 -0.155	  0.005
  0.383	 -0.615	  0.125
  0.391	 -0.855	 -0.035
  0.398	 -0.185	 -0.335
  0.406	  1.295	 -0.385
  0.414	  2.575	 -0.145
  0.422	  2.675	  0.305
  0.430	  2.445	  0.625
  0.438	  0.735	 -0.665
  0.445	 -0.415	 -0.735
  0.453	 -0.295	 -0.225
  0.461	 -0.285	 -0.075
  0.469	 -0.345	 -0.085
  0.477	 -0.365	 -0.095
  0.484	 -0.345	 -0.085
  0.492	 -0.305	 -0.095
  0.500	 -0.315	 -0.115
  0.508	 -0.305	 -0.095
  0.516	 -0.265	 -0.105
  0.523	 -0.235	 -0.115
  0.531	 -0.265	 -0.115
  0.539	 -0.245	 -0.135
  0.547	 -0.215	 -0.145
  0.555	 -0.195	 -0.135
  0.562	 -0.175	 -0.185
  0.570	 -0.185	 -0.175
  0.578	 -0.155	 -0.205
  0.586	 -0.125	 -0.235
  0.594	 -0.145	 -0.265
  0.602	 -0.125	 -0.265
  0.609	 -0.145	 -0.265
  0.617	 -0.155	 -0.265
  0.625	 -0.185	 -0.295
  0.633	 -0.175	 -0.275
  0.641	 -0.175	 -0.255
  0.648	 -0.165	 -0.245
  0.656	 -0.165	 -0.225
  0.664	 -0.115	 -0.175
  0.672	 -0.065	 -0.135
  0.680	 -0.095	 -0.105
  0.688	 -0.115	 -0.085
  0.695	 -0.075	 -0.055
  0.703	 -0.115	 -0.055
  0.711	 -0.155	 -0.045
  0.719	 -0.105	 -0.065
  0.727	 -0.125	 -0.045
  0.734	 -0.135	 -0.035
  0.742	 -0.125	 -0.045
  0.750	 -0.115	 -0.045
  0.758	 -0.105	 -0.035
  0.766	 -0.135	 -0.025
  0.773	 -0.135	 -0.035
  0.781	 -0.135	 -0.055
  0.789	 -0.145	 -0.055
  0.797	 -0.125	 -0.035
  0.805	 -0.115	 -0.055
